Column|Format|QuestionText|dtcode|answer_Label|answer_label_condensed|qn_breakdown_label|section|Topic|sub_topic|Question|comment|column_order
Surveycode|TEXT|Surveycode|0_1|||||||||1
Association (Sample)|TEXT|Association (from Sample)|0_2|||||||||2
Company (Sample)|TEXT|Company (from Sample)|0_3|||||||||3
REGION|TEXT|Eligible Region|0_4|||||||||4
DateCompleted (Asia)|TEXT|DateCompleted (Asia)|0_5|||||||||5
REGION|TEXT|Eligible Region|0_6|||||||||6
DateCompleted (Europe)|TEXT|DateCompleted (Europe)|0_7|||||||||7
REGION|TEXT|Eligible Region|0_8|||||||||8
DateCompleted (NorthAmerica)|TEXT|DateCompleted (NorthAmerica)|0_9|||||||||9
REGION|TEXT|Eligible Region|0_10|||||||||10
DateCompleted (Global)|TEXT|DateCompleted (Global)|0_11|||||||||11
REGION|TEXT|Eligible Region|0_12|||||||||12
DateCompleted (SouthAmerica)|TEXT|DateCompleted (SouthAmerica)|0_13|||||||||13
REGION|TEXT|Eligible Region|0_14|||||||||14
DateCompleted (Africa)|TEXT|DateCompleted (Africa)|0_15|||||||||15
ShowEurope|TEXT|ShowEurope|0_16|||||||||16
ShowAsia|TEXT|ShowAsia|0_17|||||||||17
ShowNA|TEXT|ShowNA|0_18|||||||||18
ShowGlobal|TEXT|ShowGlobal|0_19|||||||||19
ShowSA|TEXT|ShowSA|0_20|||||||||20
ShowAfrica|TEXT|ShowAfrica|0_21|||||||||21
RecordNo|TEXT|RecordNo|0_22|||||||||22
Surveycode|TEXT|Surveycode|0_23|||||||||23
URIstring|TEXT|URIstring|0_24|||||||||24
DateUpdated|TEXT|DateUpdated|0_25|||||||||25
DateCompleted|TEXT|DateCompleted|0_26|||||||||26
PageNo|TEXT|PageNo|0_27|||||||||27
PathInfo|TEXT|PathInfo|0_28|||||||||28
Referrer|TEXT|Referrer|0_29|||||||||29
IPaddress|TEXT|IPaddress|0_30|||||||||30
Version|TEXT|SurveyYear|0_31|||||||||31
qName|TEXT|Respondent Name|0_32|||||||||32
qCompany|TEXT|Company|0_33|||||||||33
mnumber|TEXT|Mnumber|0_34|||||||||34
qJobtitle|TEXT|Job title|0_35|||||||||35
qEmail|TEXT|Email address|0_36|||||||||36
qTelephone|TEXT|Contact Number|0_37|||||||||37
qCountry|TEXT|Country of Origin Global Head Office|0_38|||||||||38
qCurrency|TEXT|Currency|0_39|||||||||39
qCurrencyOther|TEXT|Currency (OTHER)|0_40|||||||||40
q1|SINGLE|Did your company raise institutional capital for non-listed real estate vehicles in 2017?|1|CapitalRaisingActivity_NonListedRealEstateVehicles|CRact_NLV|Capital Raising Activity||Capital raising activity||q1||41
q2|SINGLE|If no, please state select one of the following reasons:|2|NoCapitalRaisingActivity_Reason|NoCR_Reason|Reason||Capital raising activity||q2||42
q2other|TEXT|If no, please state select one of the following reasons: (Other)|3|NoCapitalRaisingActivity_Reason_Othertext|NoCR_Reason_OtherText|Reason - Other Text||Capital raising activity||q3||43
||How much institutional capital did your company raise in 2017 (millions)?|4|||||||q4||44
q3A_TotalRealEstate|CURRENCY|Total real estate (million)|4_1|TotalRealEstate|Total|Total real estate||Capital raised ||q4||45
q3A_NonListedRealEstate|CURRENCY|Non-listed real estate (million|4_2|NonListedRealEstate|NL|Total raised||Capital raised ||q4||46
||How much of the institutional capital raised in 2017 (millions) is already invested?|5|||||||q5||47
q3B_TotalRealEstate|CURRENCY|Total real estate (million)|5_1|CapitalInvested_TotalRealEstate|CI_Total|Total real estate||Capital invested||q5||48
q3B_NonListedRealEstate|CURRENCY|Non-listed real estate (million)|5_2|CapitalInvested_NonListedRealEstate|CI_NL|Invested||Capital invested||q5||49
||How much institutional capital did your company raise for non-listed vehicles in 2017 by regional strategy (million)?|6|||||||q6||50
