Column|Format|QuestionText|dtcode|answer_Label|answer_label_condensed|qn_breakdown_label|section|Topic|sub_topic|Question|comment|column_order
RecordNo|TEXT|RecordNo|0_1|||||||||1
Surveycode|TEXT|Surveycode|0_2|||||||||2
URIstring|TEXT|URIstring|0_3|||||||||3
DateUpdated|TEXT|DateUpdated|0_4|||||||||4
DateCompleted|TEXT|DateCompleted|0_5|||||||||5
PageNo|TEXT|PageNo|0_6|||||||||6
PathInfo|TEXT|PathInfo|0_7|||||||||7
Referrer|TEXT|Referrer|0_8|||||||||8
IPaddress|TEXT|IPaddress|0_9|||||||||9
Version|TEXT|IGNORE|0_10|||||||||10
qName|TEXT|Contact Name|0_11|||||||||11
qCompany|TEXT|Company|0_12|||||||||12
mnumber|TEXT|Mnumber|0_13|||||||||13
qJobtitle|TEXT|Job title|0_14|||||||||14
qEmail|TEXT|Email address|0_15|||||||||15
qTelephone|TEXT|Contact Number|0_16|||||||||16
qCountry|TEXT|Country of Origin Global Head Office|0_17|||||||||17
qCurrency|TEXT|Currency|0_18|||||||||18
qCurrencyOther|TEXT|Currency (OTHER)|0_19|||||||||19
q1|SINGLE|Did you raise any capital for non-listed funds, separate accounts, JVs and club deals, funds of funds or non-listed debt funds in 2015?|1|CapitalRaisingActivity_NonListedRealEstateVehicles|CRact_NLV|||Capital raising activity||q1||20
q2|SINGLE|If no, please state select one of the following reasons:|2|NoCapitalRaisingActivity_Reason|NoCR_Reason|||Capital raising activity||q2||21
q2other|TEXT|If no, please state select one of the following reasons: (Other)|3|NoCapitalRaisingActivity_Reason_Othertext|NoCR_Reason_OtherText|||Capital raising activity||q3||22
||How much capital did your company raise in 2015 by regional strategy (million)?|4|||||||q4||23
q31_1|CURRENCY|European strategy - Non-listed/ commingled real estate funds/private REITs|4_1|RegionalStrategyEurope_NonListedFunds|RSEUR_NLF|Europe - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q4||24
q31_2|CURRENCY|European strategy - Separate accounts investing directly into real estate|4_2|RegionalStrategyEurope_SeparateAccountsDirect|RSEUR_SepAccDirect|Europe - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q4||25
q31_3|CURRENCY|European strategy - Separate accounts investing into indirect vehicles|4_3|RegionalStrategyEurope_SeparateAccountsIndirect|RSEUR_SepAccIndirect|Europe - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q4||26
q31_4|CURRENCY|European strategy - Joint ventures and club deals|4_4|RegionalStrategyEurope_JVs|RSEUR_JVs|Europe -  Joint ventures and club deals||Capital raised |Regional Strategy and Vehicle Type|q4||27
q31_5|CURRENCY|European strategy - Funds of funds|4_5|RegionalStrategyEurope_FundsOfFunds|RSEUR_FOF|Europe - Funds of funds||Capital raised |Regional Strategy and Vehicle Type|q4||28
q31_6|CURRENCY|European strategy - Non-listed debt products|4_6|RegionalStrategyEurope_Debt|RSEUR_Debt|Europe - Non-listed debt||Capital raised |Regional Strategy and Vehicle Type|q4||29
q3ROW1_hidden|CURRENCY|European strategy TOTAL|4_7|RegionalStrategyEurope_VehicleType_Total|RSEUR_VT_Total|Europe - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q4||30
q32_1|CURRENCY|Asia Pacific strategy - Non-listed/ commingled real estate funds/private REITs|4_8|RegionalStrategyAsiaPacific_NonListedFunds|RSAPAC_NLF|Asia Pacific - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q4||31
q32_2|CURRENCY|Asia Pacific strategy - Separate accounts investing directly into real estate|4_9|RegionalStrategyAsiaPacific_SeparateAccountsDirect|RSAPAC_SepAccDirect|Asia Pacific - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q4||32
q32_3|CURRENCY|Asia Pacific strategy - Separate accounts investing into indirect vehicles|4_10|RegionalStrategyAsiaPacific_SeparateAccountsIndirect|RSAPAC_SepAccIndirect|Asia Pacific - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q4||33
q32_4|CURRENCY|Asia Pacific strategy - Joint ventures and club deals|4_11|RegionalStrategyAsiaPacific_JVs|RSAPAC_JVs|Asia Pacific - Joint ventures and club deals||Capital raised |Regional Strategy and Vehicle Type|q4||34
q32_5|CURRENCY|Asia Pacific strategy - Funds of funds|4_12|RegionalStrategyAsiaPacific_FundsOfFunds|RSAPAC_FOF|Asia Pacific - Funds of funds||Capital raised |Regional Strategy and Vehicle Type|q4||35
q32_6|CURRENCY|Asia Pacific strategy - Non-listed debt products|4_13|RegionalStrategyAsiaPacific_Debt|RSAPAC_Debt|Asia Pacific - Non-listed debt||Capital raised |Regional Strategy and Vehicle Type|q4||36
q3ROW2_hidden|CURRENCY|Asia Pacific strategy TOTAL|4_14|RegionalStrategyAsiaPacific_VehicleType_Total|RSAPAC_VT_Total|Asia Pacific - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q4||37
q33_1|CURRENCY|North American strategy - Non-listed/ commingled real estate funds/private REITs|4_15|RegionalStrategyNorthAmerica_NonListedFunds|RSNA_NLF|North America - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q4||38
q33_2|CURRENCY|North American strategy - Separate accounts investing directly into real estate|4_16|RegionalStrategyNorthAmerica_SeparateAccountsDirect|RSNA_SepAccDirect|North America - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q4||39
q33_3|CURRENCY|North American strategy - Separate accounts investing into indirect vehicles|4_17|RegionalStrategyNorthAmerica_SeparateAccountsIndirect|RSNA_SepAccIndirect|North America - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q4||40
q33_4|CURRENCY|North American strategy - Joint ventures and club deals|4_18|RegionalStrategyNorthAmerica_JVs|RSNA_JVs|North America -  Joint ventures and club deals||Capital raised |Regional Strategy and Vehicle Type|q4||41
q33_5|CURRENCY|North American strategy - Funds of funds|4_19|RegionalStrategyNorthAmerica_FundsOfFunds|RSNA_FOF|North America - Funds of funds||Capital raised |Regional Strategy and Vehicle Type|q4||42
q33_6|CURRENCY|North American strategy - Non-listed debt products|4_20|RegionalStrategyNorthAmerica_Debt|RSNA_Debt|North America - Non-listed debt||Capital raised |Regional Strategy and Vehicle Type|q4||43
q3ROW3_hidden|CURRENCY|North American strategy TOTAL|4_21|RegionalStrategyNorthAmerica_VehicleType_Total|RSNA_VT_Total|North America - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q4||44
q34_1|CURRENCY|Global strategy - Non-listed/ commingled real estate funds/private REITs|4_22|RegionalStrategyGlobal_NonListedFunds|RSGLB_NLF|Global - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q4||45
q34_2|CURRENCY|Global strategy - Separate accounts investing directly into real estate|4_23|RegionalStrategyGlobal_SeparateAccountsDirect|RSGLB_SepAccDirect|Global - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q4||46
q34_3|CURRENCY|Global strategy - Separate accounts investing into indirect vehicles|4_24|RegionalStrategyGlobal_SeparateAccountsIndirect|RSGLB_SepAccIndirect|Global - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q4||47
