question|question_code|answer|answer_code|format|answer_Label|answer_label_condensed|section|Topic|sub_topic|Question|qn_breakdown_label
Keep?|||keep|TEXT|||||||
Respondent ID|||respondentId|TEXT|||||||
Collector ID|||collectorId|TEXT|||||||
Start Date|||dateStarted|TEXT|||||||
End Date|||dateEnded|TEXT|||||||
IP Address|||ipAddress|TEXT|||||||
Email Address|||email|TEXT|||||||
First Name|||firstname|TEXT|||||||
Last Name|||lastname|TEXT|||||||
Custom Data 1|||customData1|TEXT|||||||
Company name||Open-Ended Response|qcompany|TEXT|||||||
Vehicle name||Open-Ended Response|qfundname|TEXT|||||||
Vehicle ID|||universeFundID|TEXT|||||||
Currency|||qcurrency|TEXT|||||||
Loan Strategy|||loan_strategy|TEXT|||||||
Target Regional Strategy|||qtarget_regional_strategy|TEXT|||||||
Vehicle Structure|||qfundstructure|TEXT|||||||
year of first closing|||first_closing_year|TEXT|||||||
Did your company raise capital for this vehicle in 2020?|q1|Response|q1|TEXT|||||||
If no, please state the reason why?|q2|Response|q2|TEXT|||||||
||Other (please specify)|q2other|TEXT|||||||
What was the total amount of capital raised for this vehicle in 2020? (millions)|q3|Open-Ended Response|q3|currency|||||||
How much capital was raised for this vehicle in 2020 from Institutional Investors by investor type? (millions)Please ensure that the total values provided match the values you entered in Q5 - total capital raised|q4|Pension funds|q4_1|currency|||||||
||Insurance companies|q4_2|currency|||||||
||Sovereign wealth fund|q4_3|currency|||||||
||Government institutions|q4_4|currency|||||||
||Charities, foundations, non-profit organisations|q4_5|currency|||||||
||Fund of funds|q4_6|currency|||||||
||High net worth individulas / Family offices|q4_7|currency|||||||
||Other (please specify)|q4_8|currency|||||||
How much capital was raised for this vehicle in 2020 from Institutional Investors by investor domicile? (millions)Please ensure that the total values provided match the values you entered in Q5 - total capital raised|q5|Europe|q5_1|currency|||||||
||Asia Pacific|q5_2|currency|||||||
||North America|q5_3|currency|||||||
||South America|q5_4|currency|||||||
||Africa|q5_5|currency|||||||
What percentage of the total capital was raised via...?Total figure should sum up to 100%|q6|Placement agent (%)|q6_1|%|||||||
||Investors contacting you directly (%)|q6_2|%|||||||
||Your own direct relationship with investors (%)|q6_3|%|||||||
||Other (%)|q6_4|%|||||||
How do you expect capital raising activities to develop for non-listed real estate funds over the next two years?|q7|Response|q7|TEXT|||||||
Would you like the name of your company to be included in the list of participants?|q8|Response|q8|TEXT|||||||
